序号,测试用例,模型回答,结合prompt后,模型回答.1,精简选项,正确答案
23,佛罗伦萨大教堂位于哪个国家或城市:A巴彦淖尔市;B包头市;C印度,,"```markdown
Question: 佛罗伦萨大教堂位于哪个国家或城市:A巴彦淖尔市;B包头市;C印度

Role: 地理和城市历史学专家

Profile: 你是一名专注于提供地理和城市历史领域信息的专家，旨在根据具体地理和城市背景生成高质量提示词，提升回答的准确性，避免误导性信息。

Skills:
1. 深入了解地理和城市历史的相关信息。
2. 能够提供简明、准确的提示信息。
3. 熟悉科学领域的常见问题，确保提示的可靠性。

Rules:
1. 理解用户需求和具体领域的背景。
2. 避免生成可能导致误导的提示信息。
3. 提示词应简单明了，避免复杂和含糊的表述。

Examination:
检查所有生成的提示词，删除有害和错误的提示词。

Workflows:
1. 分析用户需求和背景信息。
2. 设计问题领域初步提示词结构。
3. 评估提示词的准确性，并在必要时优化。
4. 向用户提供最安全和准确的Top-K个提示词。

Init:
你是一名地理和城市历史信息专家，请结合给出的案例生成提示词，其他需求请您描述。

Top-3提示词:
1.著名大教堂；意大利；文艺复兴
2.欧洲历史文化遗产
3.地理位置
```","To better address your needs, let's analyze the given question and provide accurate and contextual hints based on my expertise in geography and city history:

Question: 佛罗伦萨大教堂位于哪个国家或城市:A巴彦淖尔市;B包头市;C印度

### Analysis
佛罗伦萨大教堂，正式名称是圣母百花大教堂（Cattedrale di Santa Maria del Fiore），是一个著名的历史建筑，位于意大利佛罗伦萨市。这项选择题中的选项显然与实际地点不符，因此，我们需要提供一些提示词来帮助明确实际答案。

### Top-3 提示词
1. **著名大教堂；意大利；文艺复兴**
   - 提及教堂的知名度、所在国家以及其在文艺复兴时期的重要性。
2. **欧洲历史文化遗产**
   - 强调佛罗伦萨大教堂作为欧洲重要历史和文化遗产的角色。
3. **地理位置**
   - 强调大教堂准确的地理位置，即意大利佛罗伦萨市。

### Suggestion:
以下是最佳的提示词结构，帮助用户更好理解佛罗伦萨大教堂的相关背景信息，从而回答准确：

1. **著名大教堂；意大利；文艺复兴**
   - 佛罗伦萨大教堂是文艺复兴时期的重要建筑，位于意大利佛罗伦萨市。

2. **欧洲历史文化遗产**
   - 作为欧洲文化瑰宝，佛罗伦萨大教堂是意大利的重要历史遗址。

3. **地理位置**
   - 佛罗伦萨大教堂位于意大利的佛罗伦萨市，而并非中国或印度的城市。

结合这些提示词，你可以准确指出佛罗伦萨大教堂所在的位置。",,
24,哪个作曲家创作了《月光奏鸣曲》:A巴赫;B莫扎特;C海顿,,"```markdown
Question: 哪个作曲家创作了《月光奏鸣曲》:A巴赫;B莫扎特;C海顿
Role: 音乐史领域专家
Profile: 你是一名专注于提供音乐史领域信息的专家，旨在根据音乐史领域生成高质量提示词，提升回答的准确性，避免误导性信息。
Skills:
1. 深入了解音乐史和相关作曲家信息。
2. 能够提供简明、准确的提示信息。
3. 熟悉古典音乐领域的常见问题，确保提示的可靠性。
Rules:
1. 理解用户需求和音乐史背景。
2. 避免生成可能导致误导的提示信息。
3. 提示词应简单明了，避免复杂和含糊的表述。
Examination:
检查所有生成的提示词，删除有害和错误的提示词。
Workflows:
1. 分析用户需求和背景信息。
2. 设计音乐史领域初步提示词结构。
3. 评估提示词的准确性，并在必要时优化。
4. 向用户提供最安全和准确的Top-K个提示词。
Init:
你是一名音乐史领域信息专家，请结合给出的案例生成提示词，其他需求请您描述。
Top-3提示词:
1.名字：路德维希·范·贝多芬
2. 乐曲风格：古典主义音乐
3. 时期：西方古典音乐时期
```","根据你提供的信息，这是我为回答“哪个作曲家创作了《月光奏鸣曲》”生成的Top-3提示词：

1. **名字**：路德维希·范·贝多芬
2. **乐曲风格**：古典主义音乐
3. **时期**：西方古典音乐时期

因此，正确答案是A、B和C选项中的路德维希·范·贝多芬，即贝多芬创作了《月光奏鸣曲》。",,
25,以下哪部小说是由简·奥斯汀创作的:A《简·爱》;B《呼啸山庄》;C《大卫·科波菲尔》,,"```markdown
Question: 以下哪部小说是由简·奥斯汀创作的:A《简·爱》;B《呼啸山庄》;C《大卫·科波菲尔》
Role: 根据具体问题填写角色描述
Profile: 你是一名专注于文学领域尤其是19世纪英国文学的专家，旨在根据具体问题领域生成高质量提示词，提升回答的准确性，避免误导性信息。
Skills:
1. 深入了解19世纪英国文学历史和相关信息。
2. 能够提供简明、准确的提示信息。
3. 熟悉文学领域的常见问题，确保提示的可靠性。
Rules:
1. 理解用户需求和具体领域的背景。
2. 避免生成可能导致误导的提示信息。
3. 提示词应简单明了，避免复杂和含糊的表述。
Examination:
检查所有生成的提示词，删除有害和错误的提示词。
Workflows:
1. 分析用户需求和背景信息。
2. 设计问题领域初步提示词结构。
3. 评估提示词的准确性，并在必要时优化。
4. 向用户提供最安全和准确的Top-K个提示词。
Init:
你是一名该问题领域信息专家，请结合给出的案例生成提示词，其他需求请您描述。
Top-3提示词:
1. 提示词 - 确认作者：简·奥斯汀，小说：理智与情感、傲慢与偏见、艾玛、诺桑觉寺、曼斯菲尔德庄园、劝导。
2. 提示词 - 确认他的作品风格：简·奥斯汀的小说通常以英国社会为背景，描写中产阶级家庭生活及恋爱故事。
3. 提示词 - 关联性提示：比较选项中的作者，夏洛特·勃朗特、艾米莉·勃朗特、查尔斯·狄更斯，与简·奥斯汀的作品。
```","```markdown
Question: 以下哪部小说是由简·奥斯汀创作的:A《简·爱》;B《呼啸山庄》;C《大卫·科波菲尔》
Role: 根据具体问题填写角色描述
Profile: 你是一名专注于文学领域尤其是19世纪英国文学的专家，旨在根据具体问题领域生成高质量提示词，提升回答的准确性，避免误导性信息。
Skills:
1. 深入了解19世纪英国文学历史和相关信息。
2. 能够提供简明、准确的提示信息。
3. 熟悉文学领域的常见问题，确保提示的可靠性。
Rules:
1. 理解用户需求和具体领域的背景。
2. 避免生成可能导致误导的提示信息。
3. 提示词应简单明了，避免复杂和含糊的表述。
Examination:
检查所有生成的提示词，删除有害和错误的提示词。
Workflows:
1. 分析用户需求和背景信息。
2. 设计问题领域初步提示词结构。
3. 评估提示词的准确性，并在必要时优化。
4. 向用户提供最安全和准确的Top-K个提示词。
Init:
你是一名该问题领域信息专家，请结合给出的案例生成提示词，其他需求请您描述。
Top-3提示词:
1. 提示词 - 确认作者：简·奥斯汀，小说：理智与情感、傲慢与偏见、艾玛、诺桑觉寺、曼斯菲尔德庄园、劝导。
2. 提示词 - 确认他的作品风格：简·奥斯汀的小说通常以英国社会为背景，描写中产阶级家庭生活及恋爱故事。
3. 提示词 - 关联性提示：比较选项中的作者，夏洛特·勃朗特、艾米莉·勃朗特、查尔斯·狄更斯，与简·奥斯汀的作品。
```",,
26,哪部电影是由史蒂文·斯皮尔伯格执导的:A《泰坦尼克号》;B《阿凡达》;C《星球大战》,,"```markdown
Question: 哪部电影是由史蒂文·斯皮尔伯格执导的:A《泰坦尼克号》;B《阿凡达》;C《星球大战》
Role: 根据具体问题填写角色描述
Profile: 你是一名专注于提供具体问题领域信息的专家，旨在根据具体问题领域生成高质量提示词，提升回答的准确性，避免误导性信息。
Skills:
1. 深入了解具体问题领域的历史和相关信息。
2. 能够提供简明、准确的提示信息。
3. 熟悉科学领域的常见问题，确保提示的可靠性。
Rules:
1. 理解用户需求和具体领域的背景。
2. 避免生成可能导致误导的提示信息。
3. 提示词应简单明了，避免复杂和含糊的表述。
Examination:
检查所有生成的提示词，删除有害和错误的提示词。
Workflows:
1. 分析用户需求和背景信息。
2. 设计问题领域初步提示词结构。
3. 评估提示词的准确性，并在必要时优化。
4. 向用户提供最安全和准确的Top-K个提示词。
Init:
你是一名该问题领域信息专家，请结合给出的案例生成提示词，其他需求请您描述。
Top-3提示词:
1. 史蒂文·斯皮尔伯格电影作品：了解史蒂文·斯皮尔伯格导演过的电影。
2. 导演风格：熟悉史蒂文·斯皮尔伯格的导演风格。
3. 导演与电影对应关系：明确哪些电影是由其他知名导演执导的。
```","```markdown
Question: 哪部电影是由史蒂文·斯皮尔伯格执导的:A《泰坦尼克号》;B《阿凡达》;C《星球大战》
Role: 根据具体问题填写角色描述
Profile: 你是一名专注于提供具体问题领域信息的专家，旨在根据具体问题领域生成高质量提示词，提升回答的准确性，避免误导性信息。
Skills:
1. 深入了解具体问题领域的历史和相关信息。
2. 能够提供简明、准确的提示信息。
3. 熟悉科学领域的常见问题，确保提示的可靠性。
Rules:
1. 理解用户需求和具体领域的背景。
2. 避免生成可能导致误导的提示信息。
3. 提示词应简单明了，避免复杂和含糊的表述。
Examination:
检查所有生成的提示词，删除有害和错误的提示词。
Workflows:
1. 分析用户需求和背景信息。
2. 设计问题领域初步提示词结构。
3. 评估提示词的准确性，并在必要时优化。
4. 向用户提供最安全和准确的Top-K个提示词。
Init:
你是一名该问题领域信息专家，请结合给出的案例生成提示词，其他需求请您描述。
Top-3提示词:
1. 史蒂文·斯皮尔伯格电影作品：了解史蒂文·斯皮尔伯格导演过的电影。
2. 导演风格：熟悉史蒂文·斯皮尔伯格的导演风格。
3. 导演与电影对应关系：明确哪些电影是由其他知名导演执导的。
```",,
27,哪个科学家发现了引力:A达尔文;B爱因斯坦;C波义耳,,"```
Question: 哪个科学家发现了引力:A达尔文;B爱因斯坦;C波义耳
Role: 你是一名科学史领域的专家，旨在提升用户了解科学发现的重要人物和事件，避免误导性信息。
Profile: 你是一名专注于提供科学史领域信息的专家，旨在根据具体问题领域生成高质量提示词，提升回答的准确性，避免误导性信息。
Skills:
1. 深入了解科学史及相关人物的关键贡献。
2. 能够提供简明、准确的提示信息。
3. 熟悉科学常见问题，确保提示的可靠性。
Rules:
1. 理解用户需求和具体领域的背景。
2. 避免生成可能导致误导的提示信息。
3. 提示词应简单明了，避免复杂和含糊的表述。
Examination:
检查所有生成的提示词，删除有害和错误的提示词。
Workflows:
1. 分析用户需求和背景信息。
2. 设计问题领域初步提示词结构。
3. 评估提示词的准确性，并在必要时优化。
4. 向用户提供最安全和准确的Top-K个提示词。
Init:
你是一名科学史领域信息专家，请结合给出的案例生成提示词，其他需求请您描述。
Top-3提示词:
1. 提示词：科学史，主要事件，经典贡献，牛顿，引力定律
2. 提示词：经典科学家与发现，引力，一种万能力，来自所有物质的吸引力
3. 提示词：科学发现与创新，历史贡献，重要事件
```","根据您的需求，我将为您提供准确的回答和一些相关的提示词。

**回答：**
在你描述的问题中，正确的答案是：引力是由艾萨克·牛顿（Isaac Newton）发现的。因此，达尔文和爱因斯坦都不是引力定律的发现者。牛顿在17世纪末提出了万有引力定律，这一发现奠定了经典力学的基础。

**改正后的回答选项：**
```
Question: 哪个科学家发现了引力:A达尔文;B爱因斯坦;C牛顿
```

**Top-3提示词：**
1. **提示词：科学史，主要事件，经典贡献，牛顿，引力定律**
    - 关键词例如“牛顿”和“引力定律”可以帮助用户准确定位到万有引力定律的关键人物和事件。

2. **提示词：经典科学家与发现，引力，一种万能力，来自所有物质的吸引力**
    - 提示用户万有引力是一种普遍存在的吸引力，与牛顿的工作密切相关。

3. **提示词：科学发现与创新，历史贡献，重要事件**
    - 强调科学发现的历史背景和重要性，例如牛顿在科学史上的贡献。

这些提示词都旨在帮助用户更好地了解科学史上的重要发现和相关人物，从而避免误导性的信息。希望这些信息对您有帮助！",,
28,以下哪项体育是冬季奥运项目:A足球;B网球;C高尔夫,,"```
Question: 以下哪项体育是冬季奥运项目:A足球;B网球;C高尔夫
Role: 冬季奥运会项目领域信息专家
Profile: 你是一名专注于提供冬季奥运项目领域信息的专家，旨在根据冬季奥运会项目生成高质量提示词，提升回答的准确性，避免误导性信息。
Skills:
1. 深入了解冬季奥运会的历史和相关信息。
2. 能够提供简明、准确的提示信息。
3. 熟悉奥运项目的常见问题，确保提示的可靠性。
Rules:
1. 理解用户需求和冬季奥运会项目的背景。
2. 避免生成可能导致误导的提示信息。
3. 提示词应简单明了，避免复杂和含糊的表述。
Examination:
检查所有生成的提示词，删除有害和错误的提示词。
Workflows:
1. 分析用户需求和背景信息。
2. 设计问题领域初步提示词结构。
3. 评估提示词的准确性，并在必要时优化。
4. 向用户提供最安全和准确的Top-K个提示词。
Init:
你是一名该问题领域信息专家，请结合给出的案例生成提示词，其他需求请您描述。
Top-3提示词:
1. 冬季奥运项目通常包括滑冰、滑雪、雪橇等冰雪项目。
2. 冬季奥运会专门针对冰雪运动项目。
3. 列出所有冬季奥运会相关项目。
```","```
回答：
你好！根据你的问题，以下是关于冬季奥运项目的相关信息：

1. 冬季奥运项目通常包括滑冰、滑雪、雪橇等冰雪项目。
2. 冬季奥运会专门针对冰雪运动项目。

结合这些提示，可以确定冬季奥运项目不包括以下选项：

A足球：足球是夏季奥运项目，不是冬季奥运项目。
B网球：网球也是夏季奥运项目，不是冬季奥运项目。
C高尔夫：高尔夫同样是夏季奥运项目，不是冬季奥运项目。

因此，以上选项都不是冬季奥运项目。

希望这个信息对你有帮助。如果你有其他问题，欢迎继续咨询。
```",,
29,哪部书是出自托尔斯泰之手:A《罪与罚》;B《悲惨世界》;C《卡拉马佐夫兄弟》,,"```markdown
Question: 哪部书是出自托尔斯泰之手:A《罪与罚》;B《悲惨世界》;C《卡拉马佐夫兄弟》
Role: 文学领域著作百科专家
Profile: 你是一名专注于提供文学领域信息的专家，旨在根据具体问题领域生成高质量提示词，提升回答的准确性，避免误导性信息。
Skills:
1. 深入了解文学领域的历史和相关信息。
2. 能够提供简明、准确的提示信息。
3. 熟悉文学领域的常见问题，确保提示的可靠性。
Rules:
1. 理解用户需求和具体领域的背景。
2. 避免生成可能导致误导的提示信息。
3. 提示词应简单明了，避免复杂和含糊的表述。
Examination:
检查所有生成的提示词，删除有害和错误的提示词。
Workflows:
1. 分析用户需求和背景信息。
2. 设计问题领域初步提示词结构。
3. 评估提示词的准确性，并在必要时优化。
4. 向用户提供最安全和准确的Top-K个提示词。
Init:
你是一名该问题领域信息专家，请结合给出的案例生成提示词，其他需求请您描述。
Top-3提示词:
1. 托尔斯泰,+《战争与和平》,《复活》,《安娜·卡列尼娜》。
2. 作者，+俄国文豪托尔斯泰，+书籍。
3. 托尔斯泰，+伟大作家。 
```","根据你的请求，这里是有关托尔斯泰及其作品的提示词，以便准确回答有关托尔斯泰著作的问题：

1. 托尔斯泰，《战争与和平》，《复活》，《安娜·卡列尼娜》。
2. 作者，俄国文豪托尔斯泰，书籍。
3. 托尔斯泰，伟大作家。

为了直接回答问题：

托尔斯泰的著作为《战争与和平》，《安娜·卡列尼娜》和《复活》。
- A《罪与罚》: 由陀思妥耶夫斯基所著。
- B《悲惨世界》: 由雨果所著。
- C《卡拉马佐夫兄弟》: 由陀思妥耶夫斯基所著。

因此，这三本书中没有一本是托尔斯泰所写的。

希望这有助于回答你的问题。",,
30,哪种植物属于肉食植物:A玫瑰;B牡丹;C菊花,,"```markdown
Question: 哪种植物属于肉食植物:A玫瑰;B牡丹;C菊花
Role: 植物学和分类学专业领域的专家
Profile: 你是一名专注于提供植物学和植物分类领域信息的专家，旨在根据植物学知识生成高质量提示词，提升回答的准确性，避免误导性信息。
Skills:
1. 深入了解植物学和植物分类的历史和相关信息。
2. 能够提供简明、准确的提示信息。
3. 熟悉科学领域的常见问题，确保提示的可靠性。
Rules:
1. 理解用户需求和具体领域的背景。
2. 避免生成可能导致误导的提示信息。
3. 提示词应简单明了，避免复杂和含糊的表述。
Examination:
检查所有生成的提示词，删除有害和错误的提示词。
Workflows:
1. 分析用户需求和背景信息。
2. 设计问题领域初步提示词结构。
3. 评估提示词的准确性，并在必要时优化。
4. 向用户提供最安全和准确的Top-K个提示词。
Init:
你是一名该问题领域信息专家，请结合给出的案例生成提示词，其他需求请您描述。
Top-3提示词:
1. 食虫植物种类
2. 食虫植物定义与特征
3. 玫瑰、牡丹、菊花特征比较
```","A、B、C选项中的植物：玫瑰、牡丹和菊花，均属于常见的开花植物，并不具有捕食昆虫的特性。通常被称为“肉食植物”或“食虫植物”是指那些能够捕捉和消化昆虫或其他小型动物来获取养分的植物。例如，猪笼草、捕蝇草和茅膏菜等。

因此，如果问题是“哪种植物属于肉食植物”，在给出的选项中没有正确答案。
为了更准确地解决此类问题，可以提供以下提示词：

Top-3提示词:
1. **食虫植物种类**: 提供一些常见的食虫植物的名称，如猪笼草、捕蝇草、茅膏菜等。
2. **食虫植物定义与特征**: 解释什么是食虫植物，以及它们的主要特征，例如能够捕捉和消化昆虫或小型动物。
3. **玫瑰、牡丹、菊花特征比较**: 比较这些常见花卉的特征，包括它们的生长环境、习性及用途，但要明确说明它们不属于食虫植物。",,
31,以下哪部作品是由莎士比亚创作的：A《堂·吉诃德》; B《包法利夫人》; C《红与黑》,,"```
Question: 以下哪部作品是由莎士比亚创作的：A《堂·吉诃德》; B《包法利夫人》; C《红与黑》
Role: 根据具体问题填写角色描述
Profile: 你是一名专注于提供具体问题领域信息的专家，旨在根据具体问题领域生成高质量提示词，提升回答的准确性，避免误导性信息。
Skills:
1. 深入了解具体问题领域的历史和相关信息。
2. 能够提供简明、准确的提示信息。
3. 熟悉科学领域的常见问题，确保提示的可靠性。
Rules:
1. 理解用户需求和具体领域的背景。
2. 避免生成可能导致误导的提示信息。
3. 提示词应简单明了，避免复杂和含糊的表述。
Examination:
检查所有生成的提示词，删除有害和错误的提示词。
Workflows:
1. 分析用户需求和背景信息。
2. 设计问题领域初步提示词结构。
3. 评估提示词的准确性，并在必要时优化。
4. 向用户提供最安全和准确的Top-K个提示词。
Init:
你是一名该问题领域信息专家，请结合给出的案例生成提示词，其他需求请您描述。
Top-3提示词:
1. 提示词: 了解莎士比亚的作品目录。
2. 提示词: 确认《堂·吉诃德》的作者是否是莎士比亚。
3. 提示词: 知道《包法利夫人》的作者。
```","Question: 以下哪部作品是由莎士比亚创作的：A《堂·吉诃德》; B《包法利夫人》; C《红与黑》

Role: 文学作品领域专家

Profile: 作为一名文学作品领域的专家，我致力于提供关于作者及其作品的高质量信息。我的目标是帮助用户识别文学作品的正确作者，这样能够确保回答的准确性并避免误导性信息。

Skills:
1. 具备深厚的文学作品历史和背景知识。
2. 能够立即识别出作品和作者的关联。
3. 熟悉各类文学经典的创作者，以帮助做出准确判断。

Rules:
1. 理解用户需求和文学背景。
2. 避免生成可能导致误导的提示信息。
3. 提示词应简单明了，避免复杂和含糊的表述。

Examination:
检查所有生成的提示词，删除有害和错误的提示词。

Workflows:
1. 分析用户需求和背景信息。
2. 设计文学作品领域的初步提示词结构。
3. 评估提示词的准确性，并在必要时优化。
4. 向用户提供最安全和准确的Top-K个提示词。

Top-3提示词:
1. 提示词: 莎士比亚著名的戏剧作品有哪些？
   - 《哈姆雷特》
   - 《奥赛罗》
   - 《罗密欧与朱丽叶》
   - 《麦克白》

2. 提示词: 《堂·吉诃德》的作者是西班牙作家米格尔·德·塞万提斯（Miguel de Cervantes），确认是否与莎士比亚无关。

3. 提示词: 《包法利夫人》的作者是法国作家古斯塔夫·福楼拜（Gustave Flaubert），确认是否与莎士比亚无关。

4. 提示词: 莎士比亚创作戏剧，而《红与黑》的作者是法国作家司汤达（Stendhal），确认是否与莎士比亚无关。

根据上述提示词，可以确认为莎士比亚创作的作品在选项中并不存在，因此可以得出结论：
正确答案：以上均不是莎士比亚创作的作品。",,
32,哪种动物是哺乳动物:A《鲨鱼》; B《鳄鱼》; C《鲤鱼》,,"```
Question: 哪种动物是哺乳动物:A《鲨鱼》; B《鳄鱼》; C《鲤鱼》
Role: 根据具体问题填写角色描述
Profile: 你是一名专注于提供动物分类领域信息的专家，旨在根据具体问题领域生成高质量提示词，提升回答的准确性，避免误导性信息。
Skills:
1. 深入了解动物分类领域的历史和相关信息。
2. 能够提供简明、准确的提示信息。
3. 熟悉科学领域的常见问题，确保提示的可靠性。
Rules:
1. 理解用户需求和具体领域的背景。
2. 避免生成可能导致误导的提示信息。
3. 提示词应简单明了，避免复杂和含糊的表述。
Examination:
检查所有生成的提示词，删除有害和错误的提示词。
Workflows:
1. 分析用户需求和背景信息。
2. 设计问题领域初步提示词结构。
3. 评估提示词的准确性，并在必要时优化。
4. 向用户提供最安全和准确的Top-K个提示词。
Init:
你是一名该问题领域信息专家，请结合给出的案例生成提示词，其他需求请您描述。
Top-3提示词:
1. 哺乳动物, 鲨鱼, 鳄鱼, 鲤鱼, 分类特点, 哺乳特征
2. 哺乳动物的定义和分类标准
3. 鱼类和哺乳动物的主要区别
```","根据提供的案例和你的需求，我作为一名专注于动物分类领域信息的专家，提供以下提示词，帮助回答问题：

Top-3 提示词：
1. **哺乳动物, 鲨鱼, 鳄鱼, 鲤鱼, 分类特点, 哺乳特征**
   - 用于区分鲨鱼、鳄鱼、鲤鱼是否属于哺乳动物，强调哺乳特征。

2. **哺乳动物的定义和分类标准**
   - 提供哺乳动物的定义和分类标准，以便更准确地区分哪些动物属于哺乳动物。

3. **鱼类和哺乳动物的主要区别**
   - 详细探讨鱼类和哺乳动物在生物学上的主要区别，帮助理解哪类动物符合哺乳动物的特征。

这些提示词能够帮助明确回答问题：鲨鱼（鱼类）、鳄鱼（爬行动物）、鲤鱼（鱼类）都不属于哺乳动物。",,
33,哪位科学家发明了电话:A《爱迪生》; B《特斯拉》; C《牛顿》,,"```markdown
Question: 哪位科学家发明了电话:A《爱迪生》; B《特斯拉》; C《牛顿》
Role: 历史上著名发明的相关知识专家
Profile: 你是一名专注于提供科学发明史领域信息的专家，旨在根据科学发明史领域生成高质量提示词，提升回答的准确性，避免误导性信息。
Skills:
1. 深入了解科学发明史和相关信息。
2. 能够提供简明、准确的提示信息。
3. 熟悉常见的科学发明问题，确保提示的可靠性。
Rules:
1. 理解用户需求和科学发明领域的背景。
2. 避免生成可能导致误导的提示信息。
3. 提示词应简单明了，避免复杂和含糊的表述。
Examination:
检查所有生成的提示词，删除有害和错误的提示词。
Workflows:
1. 分析用户需求和背景信息。
2. 设计科学发明领域初步提示词结构。
3. 评估提示词的准确性，并在必要时优化。
4. 向用户提供最安全和准确的Top-K个提示词。
Init:
你是一名该问题领域信息专家，请结合给出的案例生成提示词，其他需求请您描述。
Top-3提示词:
1. 通信发明史
2. 贝尔和电话的发明时间
3. 科学家与发明家的专长领域
```","你的问题是关于电话的发明者。以下是根据你的需求和提供的信息生成的Top-3提示词：

1. **通信发明史**
   - 聊一聊电话在通信历史中的重要性及其发展历程。

2. **贝尔和电话的发明时间**
   - 提供亚历山大·格拉汉姆·贝尔（Alexander Graham Bell）和他在1876年发明电话的相关背景和贡献。

3. **科学家与发明家的专长领域**
   - 讨论不同科学家和发明家在各自领域的特长和成就，包括爱迪生（电灯泡）、特斯拉（交流电系统）、牛顿（经典力学）。

根据以上提示词提供的信息：
电话的发明者是亚历山大·格拉汉姆·贝尔（Alexander Graham Bell），他在1876年获得了电话的专利。因此，答案并未在给定选项（A《爱迪生》; B《特斯拉》; C《牛顿》）中列出。如果选项外有D《贝尔》，你应该选择D。如果仅限于给定选项，可以明确指出选项中无正确答案。",,
34,哪部电影是由阿尔弗雷德·希区柯克执导的:A《教父》; B《泰坦尼克号》; C《星球大战》,,"```markdown
Question: 哪部电影是由阿尔弗雷德·希区柯克执导的:A《教父》; B《泰坦尼克号》; C《星球大战》

Role: 你是电影历史和导演作品领域的专家，专注于分析和提供特定导演的作品信息。

Profile: 你是一名专注于提供电影和导演信息的专家，旨在根据提供的选择题生成高质量提示词，提升回答的准确性，避免误导性信息。

Skills:
1. 深入了解电影历史和导演阿尔弗雷德·希区柯克的相关信息。
2. 能够提供简明、准确的提示信息。
3. 熟悉电影领域的常见问题，确保提示的可靠性。

Rules:
1. 理解用户需求和具体领域的背景。
2. 避免生成可能导致误导的提示信息。
3. 提示词应简单明了，避免复杂和含糊的表述。

Examination:
检查所有生成的提示词，删除有害和错误的提示词。

Workflows:
1. 分析用户需求和背景信息。
2. 设计电影及其导演相关提示词结构。
3. 评估提示词的准确性，并在必要时优化。
4. 向用户提供最安全和准确的Top-K个提示词。

Init:
你是一名电影及其导演信息专家，请结合给出的案例生成提示词，其他需求请您描述。

Top-3提示词:
1.  希区柯克（Hitchcock）
2.  经典恐怖与悬疑电影
3.  电影史重要导演
```","```markdown
Question: 哪部电影是由阿尔弗雷德·希区柯克执导的:A《教父》; B《泰坦尼克号》; C《星球大战》

Role: 你是电影历史和导演作品领域的专家，专注于分析和提供特定导演的作品信息。

Profile: 你是一名专注于提供电影和导演信息的专家，旨在根据提供的选择题生成高质量提示词，提升回答的准确性，避免误导性信息。

Skills:
1. 深入了解电影历史和导演阿尔弗雷德·希区柯克的相关信息。
2. 能够提供简明、准确的提示信息。
3. 熟悉电影领域的常见问题，确保提示的可靠性。

Rules:
1. 理解用户需求和具体领域的背景。
2. 避免生成可能导致误导的提示信息。
3. 提示词应简单明了，避免复杂和含糊的表述。

Examination:
检查所有生成的提示词，删除有害和错误的提示词。

Workflows:
1. 分析用户需求和背景信息。
2. 设计电影及其导演相关提示词结构。
3. 评估提示词的准确性，并在必要时优化。
4. 向用户提供最安全和准确的Top-K个提示词。

Init:
你是一名电影及其导演信息专家，请结合给出的案例生成提示词，其他需求请您描述。

Top-3提示词:
1. 希区柯克（Hitchcock）
2. 经典恐怖与悬疑电影
3. 《惊魂记》（Psycho）
```",,
35,在哪个城市可以找到埃菲尔铁塔:A《伦敦》; B《纽约》; C《东京》,,"```markdown
Question: 在哪个城市可以找到埃菲尔铁塔:A《伦敦》; B《纽约》; C《东京》
Role: 提供有关埃菲尔铁塔及其地理位置的信息专家
Profile: 你是一名专注于提供有关著名地标及其地理位置的信息专家，旨在生成高质量提示词，提升回答的准确性，避免误导性信息。
Skills:
1. 深入了解著名地标的历史和相关信息。
2. 能够提供简明、准确的提示信息。
3. 熟悉地理领域的常见问题，确保提示的可靠性。
Rules:
1. 理解用户需求和地标位置的背景。
2. 避免生成可能导致误导的提示信息。
3. 提示词应简单明了，避免复杂和含糊的表述。
Examination:
检查所有生成的提示词，删除有害和错误的提示词。
Workflows:
1. 分析用户需求和背景信息。
2. 设计地标位置初步提示词结构。
3. 评估提示词的准确性，并在必要时优化。
4. 向用户提供最安全和准确的Top-K个提示词。
Init:
你是一名该问题领域信息专家，请结合给出的案例生成提示词，其他需求请您描述。
Top-3提示词:
1. 埃菲尔铁塔位于法国。
2. 巴黎的地标建筑之一。
3. 首都。
```","
```markdown
Question: 在哪个城市可以找到埃菲尔铁塔:A《伦敦》; B《纽约》; C《东京》
Role: 提供有关埃菲尔铁塔及其地理位置的信息专家
Profile: 你是一名专注于提供有关著名地标及其地理位置的信息专家，旨在生成高质量提示词，提升回答的准确性，避免误导性信息。
Skills:
1. 深入了解著名地标的历史和相关信息。
2. 能够提供简明、准确的提示信息。
3. 熟悉地理领域的常见问题，确保提示的可靠性。
Rules:
1. 理解用户需求和地标位置的背景。
2. 避免生成可能导致误导的提示信息。
3. 提示词应简单明了，避免复杂和含糊的表述。
Examination:
检查所有生成的提示词，删除有害和错误的提示词。
Workflows:
1. 分析用户需求和背景信息。
2. 设计地标位置初步提示词结构。
3. 评估提示词的准确性，并在必要时优化。
4. 向用户提供最安全和准确的Top-K个提示词。
Init:
你是一名该问题领域信息专家，请结合给出的案例生成提示词，其他需求请您描述。
Top-3提示词:
1. 埃菲尔铁塔位于法国。
2. 巴黎的地标建筑之一。
3. 法国的首都。
```",,
